date,time,temp,hum,dust,mdust
2024-11-21,05:43:37,23,49,21,21
2024-11-21,05:44:06,23,49,24,23
2024-11-21,05:44:35,23,49,19,18
2024-11-21,05:45:04,23,49,25,24
2024-11-21,05:45:34,23,49,19,17
2024-11-21,05:46:03,23,49,23,23
2024-11-21,05:46:32,23,49,27,25
2024-11-21,05:47:01,23,49,23,22
2024-11-21,05:47:31,23,49,25,25
2024-11-21,05:48:00,23,49,24,24
2024-11-21,05:48:29,23,49,25,23
2024-11-21,05:48:59,23,49,20,20
2024-11-21,05:49:28,23,49,20,20
2024-11-21,05:49:57,23,49,21,21
2024-11-21,05:50:26,23,49,22,22
2024-11-21,05:50:56,23,49,21,21
2024-11-21,05:51:25,23,49,25,22
2024-11-21,05:51:54,23,49,22,22
2024-11-21,05:52:23,23,49,26,23
2024-11-21,05:52:53,23,49,26,23
2024-11-21,05:53:22,23,49,22,20
2024-11-21,05:53:51,23,49,23,22
2024-11-21,05:54:20,23,49,21,20
2024-11-21,05:54:50,23,49,24,22
2024-11-21,05:55:19,23,49,20,19
2024-11-21,05:55:48,23,49,24,24
2024-11-21,05:56:17,23,49,22,22
2024-11-21,05:56:47,23,49,22,22
2024-11-21,05:57:16,23,49,22,22
2024-11-21,05:57:45,23,49,24,23
2024-11-21,05:58:14,23,49,23,23
2024-11-21,05:58:44,23,49,23,23
2024-11-21,05:59:13,23,49,24,21
2024-11-21,05:59:42,23,49,24,23
2024-11-21,06:00:11,23,49,19,19
2024-11-21,06:00:41,23,49,19,19
2024-11-21,06:01:10,23,49,26,24
2024-11-21,06:01:39,23,49,21,20
2024-11-21,06:02:08,23,49,26,24
2024-11-21,06:02:38,23,49,23,23
2024-11-21,06:03:07,23,49,26,26
2024-11-21,06:03:36,23,49,20,20
2024-11-21,06:04:05,23,49,25,25
2024-11-21,06:04:35,23,49,25,24
2024-11-21,06:05:04,23,49,25,25
2024-11-21,06:05:33,23,49,22,22
2024-11-21,06:06:03,23,49,23,23
2024-11-21,06:06:32,23,49,22,22
2024-11-21,06:07:01,23,49,22,20
2024-11-21,06:07:30,23,49,24,24
2024-11-21,06:08:00,23,49,23,23
2024-11-21,06:08:29,23,49,26,23
2024-11-21,06:08:58,23,49,23,21
2024-11-21,06:09:27,23,49,22,22
2024-11-21,06:09:57,23,49,23,23
2024-11-21,06:10:26,23,49,28,27
2024-11-21,06:10:55,23,49,22,21
2024-11-21,06:11:24,23,49,23,22
2024-11-21,06:11:54,23,49,24,22
2024-11-21,06:12:23,23,49,25,24
2024-11-21,06:12:52,23,49,24,24
2024-11-21,06:13:21,23,49,23,23
2024-11-21,06:13:51,23,49,24,22
2024-11-21,06:14:20,23,49,22,21
2024-11-21,06:14:49,23,49,22,21
2024-11-21,06:15:18,23,49,22,21
2024-11-21,06:15:48,23,49,21,21
2024-11-21,06:16:17,23,49,22,20
2024-11-21,06:16:46,23,49,21,21
2024-11-21,06:17:15,23,49,24,24
2024-11-21,06:17:45,23,49,24,22
2024-11-21,06:18:14,23,49,23,23
2024-11-21,06:18:43,23,49,21,21
2024-11-21,06:19:12,23,49,24,21
2024-11-21,06:19:42,23,49,21,21
2024-11-21,06:20:11,23,49,21,20
2024-11-21,06:20:40,23,49,19,19
2024-11-21,06:21:09,23,49,22,22
2024-11-21,06:21:39,23,49,23,23
2024-11-21,06:22:08,23,49,25,25
2024-11-21,06:22:37,23,49,22,22
2024-11-21,06:23:06,23,49,23,23
2024-11-21,06:23:36,23,49,25,23
2024-11-21,06:24:05,23,49,23,23
2024-11-21,06:24:34,23,49,23,23
2024-11-21,06:25:04,23,49,26,25
2024-11-21,06:25:33,23,49,22,21
